Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-01-01,Avengers,Mudança de cidade
2023-01-08,Avengers,Problemas financeiros
2023-01-11,Avengers,Falta de interesse
2023-01-12,Avengers,Problemas financeiros
2023-01-16,Avengers,Problemas financeiros
2023-01-20,Avengers,Problemas financeiros
2023-01-20,Avengers,Problemas financeiros
2023-01-21,Avengers,Problemas financeiros
2023-01-21,Avengers,Mudança de cidade
2023-01-22,Avengers,Problemas financeiros
2023-01-23,Avengers,Falta de interesse
2023-01-29,Avengers,Mudança de cidade
2023-02-02,Avengers,Falta de interesse
2023-02-03,Avengers,Falta de interesse
2023-02-03,Avengers,Falta de interesse
2023-02-11,Avengers,Mudança de cidade
2023-02-11,Avengers,Falta de interesse
2023-02-13,Avengers,Problemas financeiros
2023-02-14,Avengers,Falta de interesse
2023-02-14,Avengers,Falta de interesse
2023-02-20,Avengers,Mudança de cidade
2023-02-20,Avengers,Problemas financeiros
2023-02-23,Avengers,Mudança de cidade
2023-03-05,Avengers,Problemas financeiros
2023-03-10,Avengers,Problemas financeiros
2023-03-12,Avengers,Falta de interesse
2023-03-13,Avengers,Falta de interesse
2023-03-16,Avengers,Falta de interesse
2023-03-18,Avengers,Problemas financeiros
2023-03-21,Avengers,Falta de interesse
2023-03-21,Avengers,Falta de interesse
2023-03-25,Avengers,Mudança de cidade
2023-03-27,Avengers,Mudança de cidade
2023-03-29,Avengers,Mudança de cidade
2023-03-29,Avengers,Mudança de cidade
2023-03-30,Avengers,Mudança de cidade
2023-03-31,Avengers,Problemas financeiros
2023-04-01,Avengers,Mudança de cidade
2023-04-02,Avengers,Falta de interesse
2023-04-03,Avengers,Falta de interesse
2023-04-04,Avengers,Mudança de cidade
2023-04-12,Avengers,Falta de interesse
2023-04-14,Avengers,Mudança de cidade
2023-04-17,Avengers,Mudança de cidade
2023-04-21,Avengers,Problemas financeiros
2023-04-23,Avengers,Falta de interesse
2023-04-27,Avengers,Problemas financeiros
2023-05-03,Avengers,Falta de interesse
2023-05-04,Avengers,Falta de interesse
2023-05-11,Avengers,Problemas financeiros
2023-05-13,Avengers,Problemas financeiros
2023-05-17,Avengers,Problemas financeiros
2023-05-18,Avengers,Problemas financeiros
2023-05-19,Avengers,Problemas financeiros
2023-05-20,Avengers,Falta de interesse
2023-05-21,Avengers,Mudança de cidade
2023-05-22,Avengers,Problemas financeiros
2023-05-25,Avengers,Falta de interesse
2023-05-26,Avengers,Mudança de cidade
2023-05-30,Avengers,Falta de interesse
2023-06-01,Avengers,Mudança de cidade
2023-06-03,Avengers,Problemas financeiros
2023-06-05,Avengers,Problemas financeiros
2023-06-06,Avengers,Falta de interesse
2023-06-09,Avengers,Mudança de cidade
2023-06-09,Avengers,Problemas financeiros
2023-06-13,Avengers,Mudança de cidade
2023-06-15,Avengers,Problemas financeiros
2023-06-18,Avengers,Falta de interesse
2023-06-19,Avengers,Mudança de cidade
2023-06-20,Avengers,Falta de interesse
2023-06-21,Avengers,Mudança de cidade
2023-06-22,Avengers,Falta de interesse
2023-06-23,Avengers,Problemas financeiros
2023-06-26,Avengers,Falta de interesse
2023-06-28,Avengers,Problemas financeiros
2023-06-28,Avengers,Falta de interesse
2023-06-29,Avengers,Problemas financeiros
2023-06-30,Avengers,Mudança de cidade
2023-07-05,Avengers,Problemas financeiros
2023-07-07,Avengers,Falta de interesse
2023-07-11,Avengers,Mudança de cidade
2023-07-16,Avengers,Falta de interesse
2023-07-19,Avengers,Problemas financeiros
2023-07-19,Avengers,Falta de interesse
2023-07-19,Avengers,Falta de interesse
2023-07-21,Avengers,Mudança de cidade
2023-07-26,Avengers,Mudança de cidade
2023-07-28,Avengers,Problemas financeiros
2023-07-28,Avengers,Mudança de cidade
2023-07-31,Avengers,Falta de interesse
2023-07-31,Avengers,Problemas financeiros
2023-08-01,Avengers,Problemas financeiros
2023-08-02,Avengers,Falta de interesse
2023-08-03,Avengers,Mudança de cidade
2023-08-04,Avengers,Problemas financeiros
2023-08-05,Avengers,Problemas financeiros
2023-08-10,Avengers,Problemas financeiros
2023-08-12,Avengers,Problemas financeiros
2023-08-12,Avengers,Falta de interesse
2023-08-19,Avengers,Problemas financeiros
2023-08-20,Avengers,Mudança de cidade
2023-08-22,Avengers,Mudança de cidade
2023-08-27,Avengers,Falta de interesse
2023-08-29,Avengers,Mudança de cidade
2023-08-29,Avengers,Mudança de cidade
2023-08-30,Avengers,Mudança de cidade
2023-08-31,Avengers,Mudança de cidade
2023-09-01,Avengers,Problemas financeiros
2023-09-06,Avengers,Mudança de cidade
2023-09-07,Avengers,Mudança de cidade
2023-09-12,Avengers,Falta de interesse
2023-09-14,Avengers,Mudança de cidade
2023-09-22,Avengers,Mudança de cidade
2023-09-23,Avengers,Mudança de cidade
2023-09-25,Avengers,Falta de interesse
2023-09-26,Avengers,Mudança de cidade
2023-09-27,Avengers,Falta de interesse
2023-09-27,Avengers,Mudança de cidade
2023-10-01,Avengers,Problemas financeiros
2023-10-02,Avengers,Problemas financeiros
2023-10-05,Avengers,Falta de interesse
2023-10-11,Avengers,Mudança de cidade
2023-10-12,Avengers,Falta de interesse
2023-10-13,Avengers,Mudança de cidade
2023-10-14,Avengers,Problemas financeiros
2023-10-24,Avengers,Problemas financeiros
2023-10-24,Avengers,Falta de interesse
2023-11-04,Avengers,Falta de interesse
2023-11-05,Avengers,Problemas financeiros
2023-11-06,Avengers,Problemas financeiros
2023-11-07,Avengers,Mudança de cidade
2023-11-10,Avengers,Falta de interesse
2023-11-14,Avengers,Falta de interesse
2023-11-16,Avengers,Mudança de cidade
2023-11-20,Avengers,Problemas financeiros
2023-11-25,Avengers,Falta de interesse
2023-11-26,Avengers,Mudança de cidade
2023-11-30,Avengers,Problemas financeiros
2023-12-02,Avengers,Falta de interesse
2023-12-14,Avengers,Problemas financeiros
2023-12-22,Avengers,Problemas financeiros
2023-12-31,Avengers,Mudança de cidade
2024-01-07,Avengers,Problemas financeiros
2024-01-20,Avengers,Problemas financeiros
2024-01-22,Avengers,Problemas financeiros
2024-01-25,Avengers,Mudança de cidade
2024-01-26,Avengers,Problemas financeiros
2024-01-27,Avengers,Mudança de cidade
2024-01-28,Avengers,Mudança de cidade
2024-02-07,Avengers,Mudança de cidade
2024-02-09,Avengers,Falta de interesse
2024-02-13,Avengers,Mudança de cidade
2024-02-14,Avengers,Mudança de cidade
2024-02-14,Avengers,Problemas financeiros
2024-02-17,Avengers,Problemas financeiros
2024-02-19,Avengers,Mudança de cidade
2024-02-25,Avengers,Problemas financeiros
2024-02-25,Avengers,Mudança de cidade
2024-02-26,Avengers,Mudança de cidade
2024-03-02,Avengers,Falta de interesse
2024-03-02,Avengers,Problemas financeiros
2024-03-16,Avengers,Falta de interesse
2024-03-19,Avengers,Falta de interesse
2024-03-21,Avengers,Falta de interesse
