Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-01-01,Fitness Up,Falta de interesse
2023-01-02,Fitness Up,Falta de interesse
2023-01-04,Fitness Up,Problemas financeiros
2023-01-06,Fitness Up,Falta de interesse
2023-01-10,Fitness Up,Mudança de cidade
2023-01-12,Fitness Up,Problemas financeiros
2023-01-13,Fitness Up,Falta de interesse
2023-01-14,Fitness Up,Mudança de cidade
2023-01-14,Fitness Up,Mudança de cidade
2023-01-17,Fitness Up,Problemas financeiros
2023-01-18,Fitness Up,Falta de interesse
2023-01-19,Fitness Up,Mudança de cidade
2023-01-21,Fitness Up,Problemas financeiros
2023-01-23,Fitness Up,Mudança de cidade
2023-01-24,Fitness Up,Problemas financeiros
2023-01-27,Fitness Up,Problemas financeiros
2023-01-28,Fitness Up,Problemas financeiros
2023-01-31,Fitness Up,Mudança de cidade
2023-02-05,Fitness Up,Falta de interesse
2023-02-10,Fitness Up,Problemas financeiros
2023-02-12,Fitness Up,Mudança de cidade
2023-02-12,Fitness Up,Problemas financeiros
2023-02-13,Fitness Up,Mudança de cidade
2023-02-14,Fitness Up,Mudança de cidade
2023-02-15,Fitness Up,Falta de interesse
2023-02-15,Fitness Up,Problemas financeiros
2023-02-19,Fitness Up,Mudança de cidade
2023-02-23,Fitness Up,Problemas financeiros
2023-02-24,Fitness Up,Problemas financeiros
2023-02-28,Fitness Up,Problemas financeiros
2023-03-01,Fitness Up,Falta de interesse
2023-03-02,Fitness Up,Problemas financeiros
2023-03-04,Fitness Up,Problemas financeiros
2023-03-04,Fitness Up,Problemas financeiros
2023-03-06,Fitness Up,Problemas financeiros
2023-03-06,Fitness Up,Falta de interesse
2023-03-07,Fitness Up,Problemas financeiros
2023-03-07,Fitness Up,Mudança de cidade
2023-03-11,Fitness Up,Mudança de cidade
2023-03-12,Fitness Up,Falta de interesse
2023-03-12,Fitness Up,Mudança de cidade
2023-03-14,Fitness Up,Problemas financeiros
2023-03-17,Fitness Up,Mudança de cidade
2023-03-17,Fitness Up,Falta de interesse
2023-03-17,Fitness Up,Falta de interesse
2023-03-19,Fitness Up,Mudança de cidade
2023-03-19,Fitness Up,Mudança de cidade
2023-03-20,Fitness Up,Mudança de cidade
2023-03-22,Fitness Up,Problemas financeiros
2023-03-23,Fitness Up,Mudança de cidade
2023-03-23,Fitness Up,Mudança de cidade
2023-03-26,Fitness Up,Falta de interesse
2023-03-29,Fitness Up,Falta de interesse
2023-04-01,Fitness Up,Falta de interesse
2023-04-02,Fitness Up,Mudança de cidade
2023-04-02,Fitness Up,Falta de interesse
2023-04-03,Fitness Up,Problemas financeiros
