Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-01-04,Gym Trend,Mudança de cidade
2023-01-18,Gym Trend,Falta de interesse
2023-02-09,Gym Trend,Problemas financeiros
2023-02-11,Gym Trend,Mudança de cidade
2023-02-12,Gym Trend,Problemas financeiros
2023-02-20,Gym Trend,Problemas financeiros
2023-02-28,Gym Trend,Problemas financeiros
2023-03-07,Gym Trend,Mudança de cidade
2023-03-07,Gym Trend,Problemas financeiros
2023-03-19,Gym Trend,Falta de interesse
2023-03-26,Gym Trend,Problemas financeiros
2023-04-01,Gym Trend,Falta de interesse
2023-04-05,Gym Trend,Falta de interesse
2023-04-09,Gym Trend,Mudança de cidade
2023-04-12,Gym Trend,Problemas financeiros
2023-04-25,Gym Trend,Falta de interesse
2023-04-28,Gym Trend,Mudança de cidade
2023-04-29,Gym Trend,Problemas financeiros
2023-05-01,Gym Trend,Mudança de cidade
2023-05-03,Gym Trend,Mudança de cidade
2023-05-04,Gym Trend,Problemas financeiros
2023-05-20,Gym Trend,Falta de interesse
2023-05-25,Gym Trend,Problemas financeiros
2023-05-27,Gym Trend,Mudança de cidade
2023-06-03,Gym Trend,Mudança de cidade
2023-06-08,Gym Trend,Falta de interesse
2023-06-10,Gym Trend,Problemas financeiros
2023-06-13,Gym Trend,Falta de interesse
2023-06-19,Gym Trend,Problemas financeiros
2023-06-25,Gym Trend,Problemas financeiros
2023-06-27,Gym Trend,Mudança de cidade
2023-07-01,Gym Trend,Mudança de cidade
2023-07-22,Gym Trend,Mudança de cidade
2023-07-25,Gym Trend,Falta de interesse
2023-07-29,Gym Trend,Problemas financeiros
2023-08-02,Gym Trend,Problemas financeiros
2023-08-03,Gym Trend,Falta de interesse
2023-08-07,Gym Trend,Problemas financeiros
2023-08-10,Gym Trend,Problemas financeiros
2023-08-10,Gym Trend,Problemas financeiros
2023-08-22,Gym Trend,Problemas financeiros
2023-08-27,Gym Trend,Falta de interesse
2023-09-16,Gym Trend,Mudança de cidade
2023-09-27,Gym Trend,Falta de interesse
2023-10-07,Gym Trend,Mudança de cidade
2023-10-12,Gym Trend,Mudança de cidade
2023-10-19,Gym Trend,Falta de interesse
2023-10-24,Gym Trend,Mudança de cidade
2023-11-01,Gym Trend,Mudança de cidade
2023-11-03,Gym Trend,Mudança de cidade
2023-11-05,Gym Trend,Mudança de cidade
2023-11-07,Gym Trend,Falta de interesse
2023-11-10,Gym Trend,Mudança de cidade
2023-11-14,Gym Trend,Problemas financeiros
2023-11-20,Gym Trend,Falta de interesse
2023-11-24,Gym Trend,Problemas financeiros
2023-11-30,Gym Trend,Problemas financeiros
2023-12-01,Gym Trend,Falta de interesse
2023-12-03,Gym Trend,Problemas financeiros
2023-12-08,Gym Trend,Falta de interesse
2023-12-16,Gym Trend,Falta de interesse
2023-12-30,Gym Trend,Mudança de cidade
2023-12-30,Gym Trend,Falta de interesse
2024-01-01,Gym Trend,Mudança de cidade
2024-01-04,Gym Trend,Problemas financeiros
2024-01-14,Gym Trend,Problemas financeiros
2024-01-25,Gym Trend,Falta de interesse
2024-01-26,Gym Trend,Mudança de cidade
2024-01-26,Gym Trend,Falta de interesse
2024-01-28,Gym Trend,Mudança de cidade
2024-02-01,Gym Trend,Mudança de cidade
2024-02-01,Gym Trend,Falta de interesse
2024-02-08,Gym Trend,Mudança de cidade
2024-02-10,Gym Trend,Mudança de cidade
2024-02-11,Gym Trend,Problemas financeiros
2024-02-12,Gym Trend,Problemas financeiros
2024-02-15,Gym Trend,Mudança de cidade
2024-02-19,Gym Trend,Falta de interesse
2024-02-21,Gym Trend,Mudança de cidade
2024-02-26,Gym Trend,Mudança de cidade
2024-03-16,Gym Trend,Falta de interesse
2024-03-17,Gym Trend,Mudança de cidade
2024-03-21,Gym Trend,Mudança de cidade
2024-03-27,Gym Trend,Mudança de cidade
2024-04-03,Gym Trend,Mudança de cidade
2024-04-08,Gym Trend,Falta de interesse
2024-04-08,Gym Trend,Falta de interesse
2024-04-13,Gym Trend,Falta de interesse
2024-04-21,Gym Trend,Mudança de cidade
2024-04-25,Gym Trend,Falta de interesse
2024-04-27,Gym Trend,Problemas financeiros
2024-05-18,Gym Trend,Mudança de cidade
2024-05-25,Gym Trend,Problemas financeiros
2024-05-30,Gym Trend,Falta de interesse
2024-06-05,Gym Trend,Mudança de cidade
2024-06-10,Gym Trend,Mudança de cidade
2024-06-13,Gym Trend,Problemas financeiros
2024-06-13,Gym Trend,Falta de interesse
2024-06-15,Gym Trend,Problemas financeiros
2024-06-23,Gym Trend,Mudança de cidade
2024-06-24,Gym Trend,Falta de interesse
2024-06-26,Gym Trend,Problemas financeiros
