Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-01-02,Power Girls,Problemas financeiros
2023-01-03,Power Girls,Mudança de cidade
2023-01-04,Power Girls,Falta de interesse
2023-01-07,Power Girls,Falta de interesse
2023-01-07,Power Girls,Falta de interesse
2023-01-08,Power Girls,Falta de interesse
2023-01-09,Power Girls,Mudança de cidade
2023-01-10,Power Girls,Falta de interesse
2023-01-10,Power Girls,Problemas financeiros
2023-01-18,Power Girls,Mudança de cidade
2023-01-19,Power Girls,Falta de interesse
2023-01-21,Power Girls,Mudança de cidade
2023-01-25,Power Girls,Problemas financeiros
2023-01-27,Power Girls,Problemas financeiros
2023-01-31,Power Girls,Mudança de cidade
2023-02-01,Power Girls,Problemas financeiros
2023-02-01,Power Girls,Problemas financeiros
2023-02-02,Power Girls,Falta de interesse
2023-02-03,Power Girls,Problemas financeiros
2023-02-06,Power Girls,Mudança de cidade
2023-02-07,Power Girls,Falta de interesse
2023-02-07,Power Girls,Problemas financeiros
2023-02-08,Power Girls,Problemas financeiros
2023-02-08,Power Girls,Mudança de cidade
2023-02-11,Power Girls,Falta de interesse
2023-02-12,Power Girls,Falta de interesse
2023-02-12,Power Girls,Mudança de cidade
2023-02-14,Power Girls,Problemas financeiros
2023-02-14,Power Girls,Falta de interesse
2023-02-17,Power Girls,Mudança de cidade
2023-02-20,Power Girls,Falta de interesse
2023-02-24,Power Girls,Mudança de cidade
2023-02-25,Power Girls,Problemas financeiros
2023-02-27,Power Girls,Problemas financeiros
2023-03-11,Power Girls,Mudança de cidade
2023-03-12,Power Girls,Problemas financeiros
2023-03-16,Power Girls,Problemas financeiros
2023-03-19,Power Girls,Falta de interesse
2023-03-21,Power Girls,Mudança de cidade
2023-03-22,Power Girls,Mudança de cidade
2023-03-23,Power Girls,Problemas financeiros
2023-03-27,Power Girls,Mudança de cidade
2023-03-27,Power Girls,Falta de interesse
2023-03-29,Power Girls,Problemas financeiros
2023-04-01,Power Girls,Mudança de cidade
2023-04-04,Power Girls,Mudança de cidade
2023-04-05,Power Girls,Falta de interesse
2023-04-11,Power Girls,Mudança de cidade
2023-04-13,Power Girls,Mudança de cidade
2023-04-15,Power Girls,Problemas financeiros
2023-04-17,Power Girls,Mudança de cidade
2023-04-19,Power Girls,Mudança de cidade
2023-04-19,Power Girls,Problemas financeiros
2023-04-21,Power Girls,Mudança de cidade
2023-04-23,Power Girls,Mudança de cidade
2023-04-26,Power Girls,Problemas financeiros
2023-04-29,Power Girls,Falta de interesse
2023-05-01,Power Girls,Problemas financeiros
2023-05-07,Power Girls,Problemas financeiros
2023-05-07,Power Girls,Problemas financeiros
2023-05-10,Power Girls,Problemas financeiros
2023-05-11,Power Girls,Problemas financeiros
2023-05-12,Power Girls,Mudança de cidade
2023-05-17,Power Girls,Problemas financeiros
2023-05-24,Power Girls,Mudança de cidade
2023-05-25,Power Girls,Problemas financeiros
2023-05-26,Power Girls,Falta de interesse
2023-05-28,Power Girls,Falta de interesse
2023-05-31,Power Girls,Mudança de cidade
2023-06-01,Power Girls,Falta de interesse
2023-06-05,Power Girls,Problemas financeiros
2023-06-06,Power Girls,Mudança de cidade
2023-06-07,Power Girls,Mudança de cidade
2023-06-13,Power Girls,Problemas financeiros
2023-06-22,Power Girls,Falta de interesse
2023-06-23,Power Girls,Falta de interesse
2023-06-24,Power Girls,Falta de interesse
2023-06-25,Power Girls,Problemas financeiros
2023-06-25,Power Girls,Problemas financeiros
2023-06-25,Power Girls,Mudança de cidade
2023-06-26,Power Girls,Problemas financeiros
2023-06-28,Power Girls,Falta de interesse
2023-06-30,Power Girls,Falta de interesse
2023-07-02,Power Girls,Problemas financeiros
2023-07-02,Power Girls,Falta de interesse
2023-07-02,Power Girls,Problemas financeiros
2023-07-07,Power Girls,Problemas financeiros
2023-07-12,Power Girls,Falta de interesse
2023-07-13,Power Girls,Problemas financeiros
2023-07-14,Power Girls,Problemas financeiros
2023-07-14,Power Girls,Problemas financeiros
2023-07-16,Power Girls,Falta de interesse
2023-07-18,Power Girls,Mudança de cidade
2023-07-20,Power Girls,Problemas financeiros
2023-07-20,Power Girls,Problemas financeiros
2023-07-21,Power Girls,Problemas financeiros
2023-07-23,Power Girls,Falta de interesse
2023-07-27,Power Girls,Problemas financeiros
2023-08-01,Power Girls,Problemas financeiros
2023-08-02,Power Girls,Falta de interesse
2023-08-03,Power Girls,Mudança de cidade
2023-08-05,Power Girls,Mudança de cidade
2023-08-06,Power Girls,Mudança de cidade
2023-08-14,Power Girls,Falta de interesse
2023-08-18,Power Girls,Falta de interesse
2023-08-19,Power Girls,Problemas financeiros
2023-08-19,Power Girls,Mudança de cidade
2023-08-21,Power Girls,Problemas financeiros
2023-08-26,Power Girls,Falta de interesse
2023-08-27,Power Girls,Falta de interesse
2023-08-31,Power Girls,Mudança de cidade
2023-09-01,Power Girls,Falta de interesse
2023-09-02,Power Girls,Mudança de cidade
2023-09-03,Power Girls,Mudança de cidade
2023-09-03,Power Girls,Falta de interesse
2023-09-08,Power Girls,Problemas financeiros
2023-09-11,Power Girls,Problemas financeiros
2023-09-11,Power Girls,Problemas financeiros
2023-09-12,Power Girls,Problemas financeiros
2023-09-13,Power Girls,Problemas financeiros
2023-09-13,Power Girls,Falta de interesse
2023-09-18,Power Girls,Mudança de cidade
2023-09-19,Power Girls,Falta de interesse
2023-09-20,Power Girls,Problemas financeiros
2023-09-23,Power Girls,Falta de interesse
2023-09-24,Power Girls,Mudança de cidade
2023-09-24,Power Girls,Mudança de cidade
2023-10-03,Power Girls,Problemas financeiros
2023-10-04,Power Girls,Falta de interesse
2023-10-06,Power Girls,Problemas financeiros
2023-10-08,Power Girls,Problemas financeiros
2023-10-08,Power Girls,Mudança de cidade
2023-10-08,Power Girls,Problemas financeiros
2023-10-10,Power Girls,Falta de interesse
2023-10-10,Power Girls,Falta de interesse
2023-10-13,Power Girls,Falta de interesse
2023-10-15,Power Girls,Problemas financeiros
2023-10-23,Power Girls,Problemas financeiros
2023-10-27,Power Girls,Falta de interesse
2023-10-28,Power Girls,Falta de interesse
2023-10-29,Power Girls,Falta de interesse
2023-11-04,Power Girls,Problemas financeiros
2023-11-04,Power Girls,Problemas financeiros
2023-11-05,Power Girls,Problemas financeiros
2023-11-07,Power Girls,Problemas financeiros
2023-11-12,Power Girls,Falta de interesse
2023-11-14,Power Girls,Falta de interesse
2023-11-14,Power Girls,Mudança de cidade
2023-11-17,Power Girls,Problemas financeiros
2023-11-19,Power Girls,Mudança de cidade
2023-11-21,Power Girls,Mudança de cidade
2023-11-22,Power Girls,Mudança de cidade
2023-11-22,Power Girls,Falta de interesse
2023-11-24,Power Girls,Mudança de cidade
2023-11-24,Power Girls,Problemas financeiros
2023-11-24,Power Girls,Problemas financeiros
2023-11-26,Power Girls,Falta de interesse
2023-11-27,Power Girls,Problemas financeiros
2023-11-28,Power Girls,Mudança de cidade
2023-11-29,Power Girls,Falta de interesse
2023-12-02,Power Girls,Problemas financeiros
2023-12-02,Power Girls,Problemas financeiros
2023-12-06,Power Girls,Problemas financeiros
2023-12-08,Power Girls,Problemas financeiros
2023-12-09,Power Girls,Falta de interesse
2023-12-10,Power Girls,Falta de interesse
2023-12-12,Power Girls,Falta de interesse
2023-12-15,Power Girls,Falta de interesse
2023-12-15,Power Girls,Mudança de cidade
2023-12-16,Power Girls,Falta de interesse
2023-12-17,Power Girls,Problemas financeiros
2023-12-21,Power Girls,Mudança de cidade
2023-12-22,Power Girls,Mudança de cidade
2023-12-24,Power Girls,Problemas financeiros
2023-12-27,Power Girls,Falta de interesse
2023-12-29,Power Girls,Mudança de cidade
2023-12-29,Power Girls,Falta de interesse
2024-01-02,Power Girls,Falta de interesse
2024-01-03,Power Girls,Problemas financeiros
2024-01-06,Power Girls,Mudança de cidade
2024-01-07,Power Girls,Falta de interesse
2024-01-08,Power Girls,Falta de interesse
2024-01-09,Power Girls,Problemas financeiros
2024-01-12,Power Girls,Mudança de cidade
2024-01-14,Power Girls,Problemas financeiros
2024-01-16,Power Girls,Falta de interesse
2024-01-17,Power Girls,Mudança de cidade
2024-01-18,Power Girls,Mudança de cidade
2024-01-18,Power Girls,Problemas financeiros
2024-01-19,Power Girls,Falta de interesse
2024-01-20,Power Girls,Problemas financeiros
2024-01-23,Power Girls,Mudança de cidade
2024-01-24,Power Girls,Mudança de cidade
2024-01-25,Power Girls,Mudança de cidade
2024-01-26,Power Girls,Falta de interesse
2024-01-31,Power Girls,Falta de interesse
2024-02-02,Power Girls,Problemas financeiros
2024-02-03,Power Girls,Falta de interesse
2024-02-03,Power Girls,Mudança de cidade
2024-02-05,Power Girls,Problemas financeiros
2024-02-07,Power Girls,Falta de interesse
2024-02-09,Power Girls,Mudança de cidade
2024-02-11,Power Girls,Falta de interesse
2024-02-12,Power Girls,Problemas financeiros
2024-02-14,Power Girls,Falta de interesse
2024-02-17,Power Girls,Problemas financeiros
2024-02-17,Power Girls,Problemas financeiros
2024-02-19,Power Girls,Falta de interesse
2024-02-21,Power Girls,Mudança de cidade
2024-02-21,Power Girls,Mudança de cidade
2024-02-22,Power Girls,Falta de interesse
2024-02-23,Power Girls,Mudança de cidade
2024-02-29,Power Girls,Falta de interesse
2024-03-01,Power Girls,Falta de interesse
2024-03-01,Power Girls,Falta de interesse
2024-03-03,Power Girls,Problemas financeiros
