Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-01-01,Spotters,Problemas financeiros
2023-01-03,Spotters,Problemas financeiros
2023-01-06,Spotters,Problemas financeiros
2023-01-06,Spotters,Problemas financeiros
2023-01-07,Spotters,Mudança de cidade
2023-01-11,Spotters,Problemas financeiros
2023-01-12,Spotters,Mudança de cidade
2023-01-18,Spotters,Problemas financeiros
2023-01-21,Spotters,Mudança de cidade
2023-01-24,Spotters,Falta de interesse
2023-01-27,Spotters,Falta de interesse
2023-02-04,Spotters,Falta de interesse
2023-02-07,Spotters,Problemas financeiros
2023-02-08,Spotters,Problemas financeiros
2023-02-09,Spotters,Falta de interesse
2023-02-11,Spotters,Problemas financeiros
2023-02-13,Spotters,Problemas financeiros
2023-02-14,Spotters,Problemas financeiros
2023-02-15,Spotters,Falta de interesse
2023-02-16,Spotters,Mudança de cidade
2023-02-18,Spotters,Problemas financeiros
2023-02-21,Spotters,Mudança de cidade
2023-02-23,Spotters,Mudança de cidade
2023-02-26,Spotters,Problemas financeiros
2023-02-27,Spotters,Mudança de cidade
2023-03-05,Spotters,Problemas financeiros
2023-03-06,Spotters,Problemas financeiros
2023-03-07,Spotters,Mudança de cidade
2023-03-09,Spotters,Problemas financeiros
2023-03-11,Spotters,Falta de interesse
2023-03-12,Spotters,Falta de interesse
2023-03-15,Spotters,Problemas financeiros
2023-03-20,Spotters,Mudança de cidade
2023-03-21,Spotters,Falta de interesse
2023-03-25,Spotters,Problemas financeiros
2023-04-02,Spotters,Problemas financeiros
2023-04-06,Spotters,Problemas financeiros
2023-04-07,Spotters,Mudança de cidade
2023-04-14,Spotters,Problemas financeiros
2023-04-21,Spotters,Falta de interesse
2023-04-24,Spotters,Falta de interesse
2023-04-30,Spotters,Mudança de cidade
2023-05-01,Spotters,Problemas financeiros
2023-05-01,Spotters,Mudança de cidade
2023-05-09,Spotters,Problemas financeiros
2023-05-12,Spotters,Falta de interesse
2023-05-14,Spotters,Falta de interesse
2023-05-23,Spotters,Mudança de cidade
2023-05-25,Spotters,Problemas financeiros
2023-06-02,Spotters,Falta de interesse
2023-06-03,Spotters,Mudança de cidade
2023-06-14,Spotters,Mudança de cidade
2023-06-18,Spotters,Problemas financeiros
2023-06-22,Spotters,Mudança de cidade
2023-06-27,Spotters,Mudança de cidade
2023-07-01,Spotters,Mudança de cidade
2023-07-06,Spotters,Mudança de cidade
2023-07-06,Spotters,Mudança de cidade
2023-07-08,Spotters,Mudança de cidade
2023-07-11,Spotters,Falta de interesse
2023-07-16,Spotters,Mudança de cidade
2023-07-17,Spotters,Falta de interesse
2023-07-22,Spotters,Falta de interesse
2023-07-26,Spotters,Problemas financeiros
2023-07-27,Spotters,Falta de interesse
2023-07-29,Spotters,Problemas financeiros
2023-07-30,Spotters,Falta de interesse
2023-08-15,Spotters,Mudança de cidade
2023-08-16,Spotters,Problemas financeiros
2023-08-17,Spotters,Falta de interesse
2023-08-18,Spotters,Falta de interesse
2023-08-19,Spotters,Falta de interesse
2023-08-23,Spotters,Falta de interesse
2023-08-26,Spotters,Falta de interesse
2023-09-03,Spotters,Falta de interesse
2023-09-06,Spotters,Mudança de cidade
2023-09-07,Spotters,Mudança de cidade
2023-09-09,Spotters,Falta de interesse
2023-09-10,Spotters,Falta de interesse
2023-09-10,Spotters,Mudança de cidade
2023-09-11,Spotters,Falta de interesse
2023-09-14,Spotters,Falta de interesse
2023-09-16,Spotters,Problemas financeiros
2023-09-20,Spotters,Mudança de cidade
2023-09-23,Spotters,Mudança de cidade
2023-09-24,Spotters,Falta de interesse
2023-10-08,Spotters,Falta de interesse
2023-10-09,Spotters,Problemas financeiros
2023-10-11,Spotters,Mudança de cidade
2023-10-12,Spotters,Mudança de cidade
2023-10-16,Spotters,Mudança de cidade
2023-10-19,Spotters,Falta de interesse
2023-10-19,Spotters,Falta de interesse
2023-10-26,Spotters,Mudança de cidade
2023-10-27,Spotters,Problemas financeiros
2023-10-28,Spotters,Problemas financeiros
2023-10-29,Spotters,Mudança de cidade
2023-10-31,Spotters,Falta de interesse
2023-11-01,Spotters,Mudança de cidade
2023-11-03,Spotters,Problemas financeiros
2023-11-04,Spotters,Falta de interesse
2023-11-04,Spotters,Falta de interesse
2023-11-07,Spotters,Problemas financeiros
2023-11-10,Spotters,Problemas financeiros
2023-11-12,Spotters,Falta de interesse
2023-11-13,Spotters,Problemas financeiros
2023-11-16,Spotters,Falta de interesse
2023-11-23,Spotters,Falta de interesse
2023-11-27,Spotters,Problemas financeiros
2023-11-27,Spotters,Falta de interesse
2023-11-28,Spotters,Falta de interesse
2023-11-29,Spotters,Mudança de cidade
2023-11-29,Spotters,Problemas financeiros
2023-12-01,Spotters,Falta de interesse
2023-12-04,Spotters,Problemas financeiros
2023-12-09,Spotters,Problemas financeiros
2023-12-18,Spotters,Mudança de cidade
2023-12-19,Spotters,Falta de interesse
2023-12-23,Spotters,Falta de interesse
2023-12-24,Spotters,Problemas financeiros
